Objective,3269832.478542873
unit,x,y,l,d,De,Dc
reactor,5.000000000000007,2.499999999999993,10.000000000000014,4.999999999999986,40,{'EO': 235.18219433043174}
hex1,8.419999999999977,12.356000000000016,11.42,11.42,,
eoabs,14.999999999999996,27.575999999999997,7.68,7.68,21.8,{'EO': 199.9873408335213}
hex2,18.470000000000002,9.245999999999999,8.48,8.48,,
co2abs,27.5,18.276,5.0,5.0,18.06,{'EO': 35.36632965915265}
flash,1.3699999999999761,18.276,2.68,2.68,,
pump,23.910000000000057,3.805999999999944,2.4,2.4,,
